Codigo,Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion,Entidad,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,Promedio_Anual,Anos_Info,Fecha_Inicio,Fecha_Final,Annual_Average
48015040,Puerto Nariño,Puerto Nariño,Amazonas,-3.78,-70.36,158,IDEAM (aut.),3.2344,3.1643,3.6768,3.294,3.2508,2.8978,3.7461,4.0157,4.2146,3.8695,3.5122,3.3451,"3,5184",3,Aug 14,Okt 19,3.5184
12015100,Pista Indira,Apartadó (Turbo en DHIME),Antioquía,7.94,-76.7,15,IDEAM (aut.),4.2253,4.7917,4.1541,4.1206,4.0927,3.8202,4.1315,4.3199,4.1343,4.3661,4.0096,3.8303,"4,1664",4,Jan 17,Apr 20,4.1664
12015110,Chigorodó,Chigorodó,Antioquía,7.67,-76.69,44,IDEAM (aut.),4.6314,5.4364,4.6117,4.2996,4.1318,3.7267,3.9327,4.2536,4.2638,4.5257,3.9295,4.4142,"4,3464",3,Jan 17,Sep 19,4.3464
23105070,Maceo,Maceo (Yolombó en DHIME),Antioquía,6.57,-74.79,980,IDEAM (aut.),4.4443,4.5714,4.3803,4.4043,4.5402,5.0844,5.2969,5.3959,5.4261,4.5204,3.9744,4.1446,"4,6819",9,Apr 06,Feb 17,4.6819
27015330,Aeropuerto Olaya Herrera,Medellín,Antioquía,6.22,-75.59,1506,IDEAM (conv.),4.3826,4.0913,4.2957,4.1652,4.0505,4.3216,4.6681,4.6057,4.5951,4.419,3.9583,4.1494,"4,3085",4,Jul 92,Jun 97,4.3085
27015330,Aeropuerto Olaya Herrera,Medellín,Antioquía,6.22,-75.59,1506,IDEAM (aut.),4.4728,4.5325,4.2398,4.0956,4.2793,4.5702,4.856,4.882,4.3713,4.2153,3.9214,4.0534,"4,3741",8,Dez 14,Okt 22,4.3741
27015310,Metromedellin,Medellín,Antioquía,6.33,-75.55,1440,IDEAM (aut.),4.3912,4.7382,4.3187,4.3316,4.3003,4.8025,4.9864,4.862,4.8612,4.155,4.0715,4.2515,"4,5058",10,Jul 05,Aug 18,4.5058
23085260,La Selva,Rionegro,Antioquía,6.13,-75.41,2125,IDEAM (aut.),4.1831,4.2798,4.0922,4.2422,4.731,5.2147,5.3936,5.1536,4.7968,4.377,3.9539,4.3069,"4,5604",6,Mai 05,Nov 16,4.5604
26185050,Santa Bárbara,Santa Barbara,Antioquía,5.86,-75.56,1680,IDEAM (aut.),5.1528,5.1033,4.9041,4.5285,4.5284,5.0276,5.4234,5.0569,5.0732,4.699,4.4682,4.4697,"4,8696",8,Apr 06,Nov 16,4.8696
27015320,Aragón,Santa Rosa de Osos,Antioquía,6.78,-75.56,2652,IDEAM (aut.),4.2102,4.2537,3.7947,3.7316,3.8971,4.5536,4.8576,4.7844,4.7894,3.8563,3.5285,3.8504,"4,1756",11,Mai 05,Nov 16,4.1756
26225060,Hacienda Cotové,Santafé de Antioquia,Antioquía,6.53,-75.83,534,IDEAM (aut.),4.5022,4.7669,4.6308,4.9247,4.8376,4.7785,4.9628,5.0098,4.8172,4.635,4.4373,4.2368,"4,7116",9,Mai 05,Nov 16,4.7116
23070020,Rio Claro,Sonson,Antioquía,5.86,-74.85,449,IDEAM (conv.),4.1993,4.188,4.1121,4.7629,4.8183,4.6509,4.9569,4.898,4.788,4.1842,4.2818,4.2009,"4,5034",3,Feb 87,Apr 89,4.5034
26255030,Santa Isabel-Valdivia,Valdivia,Antioquía,7.16,-75.44,1132,IDEAM (aut.),4.0182,4.1971,4.0537,3.9788,3.9767,4.2768,4.6309,4.5753,4.5125,4.1888,4.0909,4.0456,"4,2121",16,Mai 05,Okt 22,4.2121
23105060,Vegachí,Vegachí ,Antioquía,6.77,-74.8,990,IDEAM (aut.),4.3649,4.4192,4.1778,4.1955,4.3943,4.9181,5.2169,5.0559,4.9112,4.3303,4.1741,4.2795,"4,5365",8,Mai 05,Jan 17,4.5365
37055010,Aeropuerto Santiago Pérez,Arauca,Arauca,7.07,-70.74,128,IDEAM (conv.),5.1563,4.4841,4.6171,4.3955,4.2926,4.204,4.2991,4.4161,4.8959,4.7025,4.7865,5.2124,"4,6218",3,Jan 86,Jan 92,4.6218
29045180,Las Flores,Barranquilla,Atlántico,11.04,-74.82,8,IDEAM (aut.),6.2127,6.025,6.2976,5.6604,5.5663,5.6964,5.8302,5.5202,5.0608,4.8003,4.8996,5.6274,"5,5997",6,Nov 09,Aug 15,5.5997
29035200,Repelón,Repelón,Atlántico,10.49,-75.13,10,IDEAM (aut.),5.5927,5.763,5.7996,5.7473,4.9626,5.4947,5.5815,5.4758,5.3133,4.5955,4.7243,5.3274,"5,3648",4,Apr 09,Jul 17,5.3648
29045190,Aeropuerto Ernesto Cortissoz,Soledad,Atlántico,10.92,-74.78,14,IDEAM (aut.),5.7186,5.95,5.6409,5.0903,4.2792,4.7163,4.8558,4.8947,4.952,4.2888,4.4263,5.3804,"5,0161",5,Mrz 14,Okt 19,5.0161
29015040,Carmen de Bolívar,Carmen de Bolívar,Bolívar,9.72,-75.11,152,IDEAM (aut.),4.7637,5.1202,5.1242,4.8953,4.6077,5.2178,5.3026,5.1546,4.548,4.1735,4.1825,4.4733,"4,797",5,Feb 12,Feb 17,4.7969
14015080,Aeropuerto Rafael Núñez,Cartagena,Bolívar,10.45,-75.52,2,IDEAM (conv.),6.1948,6.2603,6.3788,6.0128,4.9514,4.9887,5.6442,5.2131,5.2913,5.0145,4.9882,5.4413,"5,5316",5,Feb 90,Dez 00,5.5316
35095120,Aquitania,Aquitania,Boyacá,5.56,-72.88,3021,IDEAM (aut.),5.2424,5.4119,4.7052,4.2467,4.0475,4.088,3.9552,4.0484,4.3252,4.4091,4.4735,5.0347,"4,499",15,Apr 05,Okt 22,4.499
35075070,Chinavita,Chinavita,Boyacá,5.22,-73.35,2012,IDEAM (aut.),3.6838,3.6721,3.2999,2.9291,2.8455,2.6692,2.5581,2.6657,2.8738,3.3574,3.4158,3.8065,"3,1481",11,Mrz 05,Apr 17,3.1481
24015180,Esclusa Tolón,Chiquinquirá,Boyacá,5.62,-73.78,2545,IDEAM (conv.),4.8567,4.1414,4.6264,3.9809,3.8553,4.4008,5.2137,4.4589,4.6857,4.3136,4.3857,4.0845,"4,417",3,Jan 83,Dez 90,4.417
24025030,La sierra,Duitama,Boyacá,5.97,-73.16,2700,IDEAM (conv.),4.4723,4.4283,4.0649,3.9904,4.0954,4.2977,4.2927,4.3871,4.3492,4.0745,3.8868,4.453,"4,2327",10,Jul 85,Dez 01,4.2327
24035120,Surbata Bonza,Duitama,Boyacá,5.8,-73.07,2485,IDEAM (conv.),4.9323,4.9398,4.9888,4.7415,4.6427,4.4076,4.5485,4.637,4.7011,4.7856,4.8272,4.953,"4,7588",7,Feb 87,Jun 97,4.7588
35085080,La Capilla,La Capilla ,Boyacá,5.1,-73.44,1917,IDEAM (aut.),5.3881,5.212,4.7381,4.3452,4.3461,3.6435,3.6934,3.8969,4.6413,5.0063,4.9856,5.1767,"4,5894",10,Mrz 05,Mai 17,4.5894
24035150,Belencito,Nobsa,Boyacá,5.78,-72.89,2530,IDEAM (conv.),4.686,4.7753,4.5418,3.7895,3.9961,4.3641,4.4765,4.6941,4.3296,4.1067,4.1425,4.7057,"4,384",4,Jan 85,Sep 94,4.384
24035430,Tunguavita,Paipa,Boyacá,5.75,-73.12,2470,IDEAM (aut.),5.5108,5.3779,4.7338,4.3095,4.325,4.3559,4.4395,4.368,4.3371,4.5449,4.7492,5.1501,"4,6835",13,Apr 05,Okt 22,4.6835
24015310,San Miguel De Sema,San Miguel de Sema,Boyacá,5.52,-73.72,2600,IDEAM (conv.),4.716,4.1903,4.8218,4.3159,4.1205,4.1554,4.4194,4.388,4.5427,3.7088,4.1507,4.4601,"4,3325",3,Jan 87,Nov 90,4.3325
23125160,San Pablo de Borbur,San Pablo de Borbur,Boyacá,5.65,-74.07,"741,6",IDEAM (aut.),4.6921,4.471,4.1281,4.5221,4.1808,4.5988,4.7189,4.9259,4.9726,4.7714,4.6042,4.8174,"4,6169",8,Jun 08,Apr 17,4.6169
35085070,Santa María,Santa María,Boyacá,4.84,-73.26,1300,IDEAM (aut.),3.9358,3.7376,3.2569,3.2453,3.0729,2.8501,2.8615,3.3464,4.0635,4.016,3.6312,3.6791,"3,4747",12,Apr 05,Apr 17,3.4747
24035360,Socha,Socha,Boyacá,5.99,-73.0,2503,IDEAM (aut.),5.1396,5.295,4.6927,4.1627,4.2063,4.2518,4.2336,4.205,4.1033,4.2342,4.2625,4.7311,"4,4598",11,Apr 05,Mai 17,4.4598
24035410,Sogamoso,Sogamoso,Boyacá,5.75,-72.91,2495,IDEAM (aut.),5.6176,5.4149,5.0308,4.4638,4.3464,4.3274,4.4777,4.2584,4.3096,4.398,4.6542,5.0814,"4,6983",5,Sep 12,Apr 17,4.6983
24035130,U P T C,Tunja,Boyacá,5.54,-73.36,2690,IDEAM (conv.),5.061,4.9797,4.8555,4.4796,4.1981,4.143,4.1671,4.2894,4.4125,4.5373,4.3412,4.5481,"4,5011",7,Dez 92,Dez 02,4.501
24015300,Villa de Leyva,Villa de Leyva,Boyacá,5.66,-73.54,2215,IDEAM (conv.),4.7372,4.705,4.5019,4.1856,4.0018,4.1912,4.3013,4.4542,4.4347,4.3824,4.0262,4.3547,"4,3564",7,Okt 91,Dez 98,4.3563
35085060,Zetaquira,Zetaquira,Boyacá,5.29,-73.17,1436,IDEAM (aut.),4.401,4.3487,3.8565,3.6791,3.4901,3.1202,2.9182,3.121,3.5528,3.9,4.1418,4.2786,"3,734",16,Apr 05,Okt 22,3.734
26155230,E.M.A.S.,Manizales,Caldas,5.09,-75.51,2211,IDEAM (aut.),4.1163,4.0512,3.7839,3.6708,3.5083,3.5847,4.046,4.0041,4.1145,3.7059,3.4866,3.729,"3,8168",11,Mai 05,Okt 16,3.8168
26155220,Villamaría,Villamaría,Caldas,5.05,-75.51,1906,IDEAM (aut.),4.5294,4.4403,4.2997,4.068,3.8959,3.8861,4.2045,4.2041,4.3511,4.1437,4.0641,4.2237,"4,1926",10,Mai 05,Okt 16,4.1925
46035010,Maguare,El doncello,Caqueta,1.64,-75.16,270,IDEAM (conv.),4.4076,4.1281,3.6306,3.3093,3.4924,3.0138,3.2928,3.7064,4.0519,4.3021,4.1128,4.6786,"3,8439",2,Jan 85,Mai 05,3.8439
44035010,Florencia,Florencia,Caqueta,1.62,-75.6,280,SUTRON,3.7382,3.7039,3.3835,3.5882,3.065,3.1702,3.2252,3.0846,3.542,3.5213,3.9578,3.7632,"3,4786",2,Feb 97,Okt 02,3.4786
44035040,Florencia - deslizamiento,Florencia,Caqueta,1.73,-75.65,600,IDEAM (aut.),3.8257,3.7285,3.2811,3.337,3.0937,3.0127,3.0275,3.3016,3.7266,3.6442,3.5425,3.7094,"3,4359",8,Feb 06,Jul 17,3.4359
44035050,Macagual - Florencia,Florencia,Caqueta,1.5,-75.66,280,IDEAM (aut.),4.0823,3.9526,3.3496,3.4854,3.0048,3.1938,3.1377,3.5777,3.77,3.939,3.9511,3.9187,"3,6136",6,Jul 05,Okt 15,3.6136
46015030,San Vicente del Caguan,San Vicente del Caguan,Caqueta,2.06,-74.76,300,IDEAM (aut.),4.8168,4.5532,4.1176,4.0205,4.0384,3.6744,3.7764,4.1825,4.9403,4.7354,4.6703,4.8892,"4,3679",10,Jul 09,Apr 20,4.3679
44135010,Araracuara,Solano,Caqueta,-0.62,-72.38,150,IDEAM (conv.),4.082,3.7617,3.8361,4.0188,3.7463,3.3018,4.0391,4.2272,4.3703,4.3433,4.0913,4.0535,"3,9893",4,Okt 86,Dez 99,3.9893
36015020,El Diamante,Paz de Ariporo,Casanare,5.82,-71.42,160,IDEAM (aut.),5.2889,5.4456,4.9497,4.5553,4.6354,4.2448,4.2466,4.7162,5.2316,5.2768,4.9798,5.1282,"4,8916",7,Okt 05,Sep 17,4.8916
35215020,Aeropuerto Yopal (El Alcaraván),Yopal,Casanare,5.32,-72.39,325,IDEAM (aut.),5.7474,5.595,4.8893,4.5118,4.4301,4.3572,4.2832,4.5284,5.1926,5.1297,5.1834,5.5218,"4,9475",6,Nov 09,Feb 17,4.9475
53075020,El Diviso,Argelia,Cauca,2.31,-77.26,1750,IDEAM (aut.),4.1726,4.4309,4.4611,4.4721,4.7802,5.2362,5.33,5.522,5.4543,4.8825,4.2419,4.3108,"4,7745",6,Jan 11,Okt 16,4.7746
52015050,Balboa,Balboa,Cauca,2.03,-77.22,1700,IDEAM (aut.),3.7448,3.5764,3.4961,3.3664,3.4084,3.6097,4.1273,4.6421,4.3555,3.7439,3.2422,3.4739,"3,7322",5,Jul 16,Okt 22,3.7322
53045040,Aeropuerto Guapi,Guapi,Cauca,2.57,-77.89,42,IDEAM (aut.),3.1646,3.3381,3.4811,3.8395,3.4747,3.465,3.398,3.726,3.7347,3.3163,2.9907,3.1865,"3,4263",7,Okt 05,Okt 16,3.4263
57025020,Gorgona,Guapi,Cauca,2.96,-78.17,10,SUTRON,3.4428,3.9089,3.9302,3.4615,2.8943,2.592,2.6674,2.9472,3.0622,2.951,2.8,2.8989,"3,1297",3,Feb 97,Jun 03,3.1297
21055070,Inza,Inza,Cauca,2.55,-76.06,1800,IDEAM (aut.),4.582,4.4739,4.2536,4.213,3.9919,3.7369,3.9682,3.8019,4.2407,4.346,4.36,4.4355,"4,2003",9,Dez 05,Sep 16,4.2003
52025090,La Sierra,La Sierra,Cauca,2.19,-76.75,1870,IDEAM (aut.),4.9466,4.8653,4.2873,4.0306,4.4246,4.6116,4.9797,4.9329,4.8112,4.6029,4.5097,4.8474,"4,6542",6,Okt 05,Okt 16,4.6541
52025080,Estrecho Patía,Patia,Cauca,1.96,-77.12,720,IDEAM (aut.),5.5997,5.0941,4.9601,4.8422,4.5737,4.6031,4.6323,4.9199,5.1366,5.0934,4.9264,5.0775,"4,9549",6,Okt 05,Okt 16,4.9549
26015040,Arrayanales,Popayán,Cauca,2.45,-76.44,2552,IDEAM (aut.),3.1519,3.0862,2.5512,2.9049,2.9426,3.2789,3.9246,3.9847,3.6573,2.7636,2.4174,2.8256,"3,1241",4,Dez 16,Okt 22,3.1241
26015010,ELTablazo,Popayán,Cauca,2.47,-76.58,1837,IDEAM (aut.),4.4405,4.574,4.0965,3.9382,3.804,3.8949,4.3497,4.5791,4.3182,4.0046,3.7465,4.1244,"4,1559",5,Dez 16,Okt 22,4.1559
23195240,Aguachica,Aguachica,Cesar,8.12,-73.58,103,IDEAM (aut.),5.1021,5.7276,5.3558,4.722,4.951,5.0971,5.6241,5.449,5.0999,4.9544,4.4065,4.6215,"5,0926",4,Sep 05,Sep 17,5.0926
28025070,Motilonia Codazzi,Agustin Codazzi,Cesar,10.0,-73.25,180,IDEAM (conv.),4.3689,4.5972,4.7538,4.6074,4.598,4.4753,4.3925,4.4689,4.6345,4.6486,4.3553,4.4456,"4,5288",9,Jan 86,Dez 95,4.5288
28025130,La Loma-Carbones del Cesar,El Paso,Cesar,9.64,-73.52,138,IDEAM (aut.),5.0629,5.8045,5.8187,6.0368,5.3596,5.6935,6.0532,6.0029,5.2915,4.7748,4.602,4.7769,"5,4398",6,Mai 15,Okt 22,5.4398
28035060,Fedearroz,Valledupar,Cesar,10.46,-73.25,"183,7",IDEAM (aut.),5.5331,5.844,5.5317,5.6296,5.4024,5.6482,5.7166,5.4823,5.2027,4.982,4.973,5.2272,"5,4311",12,Sep 05,Feb 17,5.4311
11159010,Capurgana,Acandi,Chocó,8.62,-77.33,19,IDEAM (aut.),4.0544,4.0169,4.1928,4.205,3.9839,4.5556,4.5593,4.5232,4.4969,4.3659,3.9242,3.8972,"4,2313",7,Apr 07,Nov 15,4.2313
13035501,Aeropuerto Los Garzones,Monteria,Córdoba,8.83,-75.83,20,IDEAM (aut.),4.9473,5.0899,4.7903,4.7142,4.2138,4.4516,4.6795,4.7665,4.3543,4.1338,4.2161,4.5558,"4,5761",8,Jun 15,Okt 22,4.5761
21205791,Eldorado Catam - AUT,Bogotá,Cundinamarca,4.71,-74.15,2547,IDEAM (aut.),4.7322,4.5234,3.9558,3.5564,3.4928,3.7272,3.7613,3.9735,3.8393,3.8795,3.9701,4.2787,"3,9742",9,Sep 14,Okt 22,3.9742
21205520,Eldorado Didáctica,Bogotá,Cundinamarca,4.7,-74.15,2546,IDEAM (conv.),4.6885,4.3354,4.3224,3.7167,3.506,3.6589,3.9193,4.1685,3.9504,3.9648,4.0162,4.1991,"4,0372",22,Mrz 81,Dez 04,4.0372
21206960,IDEAM Bogotá Centro,Bogotá,Cundinamarca,4.6,-74.07,2646,IDEAM (aut.),3.9304,4.0093,3.5139,3.5595,3.5244,3.7575,4.1455,4.2051,4.1955,3.4943,3.176,3.4891,"3,75",9,Dez 13,Okt 22,3.75
21206600,Nueva Generación,Bogotá,Cundinamarca,4.78,-74.09,2590,IDEAM (aut.),4.0743,3.9837,3.6595,3.3837,3.3449,3.5137,3.6018,3.7303,3.6976,3.4744,3.404,3.7477,"3,6346",8,Feb 15,Okt 22,3.6346
21205012,Universidad Nacional,Bogotá,Cundinamarca,4.64,-74.09,2556,IDEAM (aut.),4.5516,4.4037,3.5758,3.6002,3.6209,3.8303,4.029,4.0885,3.9352,3.764,3.6728,4.1484,"3,935",10,Jun 12,Okt 22,3.935
21206920, Villa Teresa,Bogotá,Cundinamarca,4.35,-74.15,3624,IDEAM (aut.),4.6458,4.3344,3.78,3.3922,3.6903,3.8383,3.9453,3.8242,4.0162,3.8452,3.7246,4.2109,"3,9373",14,Mai 07,Okt 22,3.9373
21205480,La Iberia,Chocontá,Cundinamarca,5.03,-73.72,2760,IDEAM (conv.),4.7264,4.2356,4.7869,3.9868,3.8856,3.8146,3.4797,3.339,4.0263,4.5171,4.345,4.2322,"4,1146",6,Jan 80,Dez 90,4.1146
21205410,Represa del Neusa,Cogua,Cundinamarca,5.15,-73.98,3100,IDEAM (conv.),4.6264,4.0472,4.2543,3.7763,3.6332,3.5251,3.7007,4.1542,4.2543,3.967,4.0368,4.3333,"4,0257",7,Jan 80,Dez 90,4.0257
21205160,La Ramada,Funza,Cundinamarca,4.72,-74.18,2545,IDEAM (conv.),4.3765,3.9307,4.4081,4.0363,4.2498,4.1524,4.4457,4.6181,4.6392,4.5853,4.5207,4.7436,"4,3922",3,Jan 83,Dez 90,4.3922
21235030,Universidad de Cundinamarca,Girardot,Cundinamarca,4.31,-74.81,309,IDEAM (aut.),4.9583,5.1395,4.8752,4.8487,5.0168,4.99,5.5793,5.6798,5.7358,5.428,4.9347,5.043,"5,1858",6,Jan 14,Okt 22,5.1858
21206980,Santa Cruz de Siecha,Guasca,Cundinamarca,4.78,-73.87,3100,IDEAM (aut.),4.204,4.1933,3.6841,3.4714,3.5956,3.7111,3.7834,3.6228,3.593,3.6734,3.6687,4.1343,"3,7779",15,Apr 05,Okt 22,3.7779
21206990,Tibaitatá,Mosquera,Cundinamarca,4.69,-74.21,2543,IDEAM (aut.),4.7532,4.7825,4.1333,3.884,3.6209,3.8386,3.8946,4.1176,4.202,4.0483,3.975,4.3238,"4,1312",17,Feb 05,Okt 22,4.1312
21206790,Hacienda Santa Ana,Nemocón,Cundinamarca,5.09,-73.88,2572,IDEAM (aut.),4.8524,4.7555,4.0505,3.8593,3.9434,4.0294,4.132,4.0066,3.9141,4.1767,4.2776,4.7631,"4,2301",15,Mrz 05,Okt 22,4.2301
21195190,Pasca,Pasca,Cundinamarca,4.31,-74.31,2256,IDEAM (aut.),4.3803,4.0832,3.7729,3.8595,3.7793,3.8235,3.8449,3.9253,4.1258,3.9387,3.6784,4.0549,"3,9389",12,Jul 08,Okt 22,3.9389
23035020,Aeropuerto Palanquero,Puerto Salgar,Cundinamarca,5.47,-74.65,172,IDEAM (conv.),4.9334,4.8939,4.5357,5.2998,5.9778,5.8604,5.5336,5.9383,5.3859,5.5033,5.4324,5.5824,"5,4064",2,Jan 83,Dez 85,5.4064
23065190,Quebrada Negra,Quebrada Negra,Cundinamarca,5.14,-74.48,1107,IDEAM (aut.),4.6623,4.8279,4.6554,4.5264,4.4847,4.6116,4.76,4.4241,4.8066,4.7661,4.6473,4.6282,"4,6501",8,Apr 05,Jan 16,4.6501
23125170,San Cayetano,San Cayetano,Cundinamarca,5.33,-74.02,2807,IDEAM (aut.),3.2869,3.0144,2.8886,3.0384,3.2667,3.4723,3.6399,3.4521,3.5346,3.1136,2.8434,3.4172,"3,2474",8,Feb 05,Sep 16,3.2473
21205610,Muña,Sibaté,Cundinamarca,4.55,-74.25,2565,IDEAM (conv.),4.4194,4.588,4.4555,3.9658,4.1193,4.288,4.5962,4.5508,4.5055,3.9007,4.0089,4.0682,"4,2889",7,Mrz 80,Dez 90,4.2889
24015130,Simijaca,Simijaca,Cundinamarca,5.5,-73.85,2572,IDEAM (conv.),5.0742,5.4394,5.8243,4.9951,5.0021,4.6508,5.3824,5.3649,4.9486,4.4834,4.8171,4.9904,"5,0811",3,Jan 85,Dez 90,5.0811
21205570,La Primavera,Subachoque,Cundinamarca,4.85,-74.22,2590,IDEAM (conv.),4.6834,4.5485,4.9521,4.2019,4.1147,4.1845,4.3601,4.2403,4.5055,4.2973,4.6148,4.3927,"4,4246",8,Jan 80,Dez 90,4.4247
21205650,Tabio,Tabio,Cundinamarca,4.77,-73.93,2620,IDEAM (conv.),4.6776,3.7774,3.8053,3.3076,3.4041,3.6658,3.5006,3.6762,3.5599,3.7716,4.2647,3.9484,"3,7799",6,Jan 80,Dez 90,3.7799
24015110,La Boyera,Villa de San Diego de Ubaté,Cundinamarca,5.3,-73.85,2610,IDEAM (aut.),4.8043,4.8083,4.2583,3.9747,3.9096,4.0038,4.0119,4.1801,4.3416,4.1952,4.0605,4.5376,"4,2571",15,Aug 05,Okt 22,4.2572
